Regionalschluessel;Name;Breitengrad;Laengengrad
010585853101;Luhnstedt;54.169953;9.694481
010585853148;Schülp b.Rendsburg;54.247799;9.622017
010585853155;Stafstedt;54.172657;9.658626
010585853172;Westerrönfeld;54.269555;9.661181
010585864011;Bargstedt;54.167103;9.764959
010585864021;Bokel;54.223464;9.780767
010585864023;Borgdorf-Seedorf;54.176897;9.889097
010585864027;Brammer;54.199729;9.763498
010585864038;Dätgen;54.18147;9.938004
010585864045;Eisendorf;54.194009;9.869236
010585864046;Ellerdorf;54.199249;9.831197
010585864049;Emkendorf;54.254654;9.821086
010585864059;Gnutz;54.129803;9.82184
010585864065;Groß Vollstedt;54.231213;9.865307
010585864091;Krogaspe;54.12556;9.929017
010585864094;Langwedel;54.218562;9.93452
010585864117;Nortorf;54.16783;9.835836
010585864120;Oldenhütten;54.154511;9.734717
